CheckInID, VehicleID, CheckInTime, CheckOutTime
2003, 1, 4/19/2024 12:34:13 PM, 4/20/2024 5:30:39 PM
2004, 1002, 4/19/2024 12:35:13 PM, 4/19/2024 12:58:38 PM
2005, 2002, 4/19/2024 12:35:48 PM, 4/19/2024 12:59:19 PM
2006, 1002, 4/19/2024 12:45:56 PM, 4/19/2024 12:55:03 PM
2007, 1002, 4/19/2024 12:52:16 PM, 4/19/2024 12:54:53 PM
2008, 1002, 4/19/2024 12:52:36 PM, 4/19/2024 12:54:44 PM
2009, 1002, 4/19/2024 12:58:53 PM, 4/19/2024 12:59:05 PM
2010, 1002, 4/19/2024 12:58:57 PM, 4/19/2024 12:59:09 PM
2011, 1, 4/19/2024 2:51:25 PM, 4/20/2024 5:30:46 PM
3003, 3002, 4/20/2024 5:15:26 PM, 4/20/2024 5:15:53 PM
3004, 3002, 4/20/2024 5:15:36 PM, 
3005, 3002, 4/20/2024 5:15:41 PM, 
3006, 3002, 4/20/2024 5:15:48 PM, 
4003, 3002, 4/20/2024 5:30:01 PM, 4/23/2024 7:58:02 PM
4004, 3002, 4/20/2024 5:30:18 PM, 
4005, 3002, 4/20/2024 5:30:30 PM, 
4006, 3002, 4/20/2024 5:37:05 PM, 
4007, 3002, 4/20/2024 5:42:25 PM, 
4008, 3002, 4/20/2024 5:51:40 PM, 
4009, 3002, 4/20/2024 5:54:10 PM, 
5003, 3002, 4/23/2024 11:44:35 AM, 
6003, 4002, 4/23/2024 7:56:52 PM, 
6004, 3002, 4/23/2024 7:57:47 PM, 
